Bing Spatial Data Services, 2.0
Id,GeocodeRequest/Culture,GeocodeRequest/Address/AddressLine,GeocodeRequest/Address/Locality,GeocodeRequest/Address/AdminDistrict,  GeocodeResponse/Address/AddressLine, GeocodeResponse/Address/Locality, GeocodeResponse/Address/AdminDistrict, GeocodeResponse/Address/PostalCode,  GeocodeResponse/Point/Latitude, GeocodeResponse/Point/Longitude, GeocodeResponse/Confidence, StatusCode, FaultReason
1,en-US,46dsfsdfsdf09 VENTURA2 WEST2 CT2,ELddK2 GROdddVE2,CdfsdfdA
2,en-US,4610 LAGUNA WEST WAY,ELK GROVE,CA
3,en-US,4612 EVIA CT,ELK GROVE,CA
4,en-US,4612 MAPLEPLAIN AVE,ELK GROVE,CA
5,en-US,4612 MYKONOS WAY,ELK GROVE,CA
6,en-US,4612 SILVIES WAY,ELK GROVE,CA
7,en-US,4612 STORY WAY,ELK GROVE,CA
8,en-US,4612 TEGAN RD,ELK GROVE,CA
9,en-US,4612 VENTURA WEST CT,ELK GROVE,CA
10,en-US,4613 CAREYBACK AVE,ELK GROVE,CA
11,en-US,4613 EVIA CT,ELK GROVE,CA
12,en-US,4613 MAPLEPLAIN AVE,ELK GROVE,CA
13,en-US,4613 MYKONOS WAY,ELK GROVE,CA
14,en-US,4613 TEGAN RD,ELK GROVE,CA
15,en-US,4616 CAREYBACK AVE,ELK GROVE,CA
16,en-US,4616 EVIA CT,ELK GROVE,CA
17,en-US,4616 MYKONOS WAY,ELK GROVE,CA
18,en-US,4616 SILVIES WAY,ELK GROVE,CA
19,en-US,4616 STORY WAY,ELK GROVE,CA
20,en-US,4616 TEGAN RD,ELK GROVE,CA
21,en-US,4616 VENTURA WEST CT,ELK GROVE,CA
22,en-US,4617 CAREYBACK AVE,ELK GROVE,CA
23,en-US,4617 EVIA CT,ELK GROVE,CA
24,en-US,4617 MYKONOS WAY,ELK GROVE,CA
25,en-US,4617 SILVIES WAY,ELK GROVE,CA
26,en-US,4617 STORY WAY,ELK GROVE,CA
27,en-US,4617 TEGAN RD,ELK GROVE,CA
28,en-US,4617 VENTURA WEST CT,ELK GROVE,CA
29,en-US,4619 ELLIOT RANCH RD,ELK GROVE,CA
30,en-US,4619 LAGUNA WEST WAY,ELK GROVE,CA
